Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,database_cross_reference,has_exact_synonym,has_obo_format_version,has_related_synonym,has_synonym_type,http://data.bioontology.org/metadata/prefixIRI,http://neuromorpho.org/ontologies/1/vertebrateH.owl#hasHook,http://purl.obolibrary.org/obo/property_value,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#xref,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#topObjectProperty,http://www.w3.org/2004/02/skos/core#notation,rdf:type
http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_284,Tm-type unknown-6,,,false,,,http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_270,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,Tm-type unknown-6,,,
http://neuromorpho.org/ontologies/1/archiveH.owl#NMOOt_561,Kantor,,,false,,,http://neuromorpho.org/ontologies/1/archiveH.owl#NMOOt_297,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,Kantor,,,
http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_425,vchA/vchB,,,false,,,http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_100,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,vchA/vchB,,,
http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_651,bushy,,,false,,,http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_500,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,bushy,,,
http://purl.obolibrary.org/obo/NCBITaxon_235600,Chrysomya putoria,tropical african latrine blowfly|chrysomya chloropyga putoria,,false,,,http://purl.obolibrary.org/obo/NCBITaxon_45449,,tropical african latrine blowfly,,chrysomya chloropyga putoria,,,,has_rank NCBITaxon:species,NCBITaxon:235600,,http://www.w3.org/2002/07/owl#Class,Chrysomya putoria,,NCBITaxon:235600,
http://purl.obolibrary.org/obo/RS_0001936,F344.NER-(D1Mgh6-D1Rat73)(D5Mgh4-D5Rat36)/Kyo,RGD ID: 2306035|F344.NER-Ner1 Ner3/Kyo|NBRP Rat No: 0444,,false,,,http://purl.obolibrary.org/obo/RS_0000215,,,,RGD ID: 2306035|F344.NER-Ner1 Ner3/Kyo|NBRP Rat No: 0444,,,,,RS:0001936,,http://www.w3.org/2002/07/owl#Class,F344.NER-(D1Mgh6-D1Rat73)(D5Mgh4-D5Rat36)/Kyo,,RS:0001936,
http://purl.obolibrary.org/obo/NCBITaxon_70910,Acridomorpha,,,false,,,http://purl.obolibrary.org/obo/NCBITaxon_7001,,,,,,,,,NCBITaxon:70910,,http://www.w3.org/2002/07/owl#Class,Acridomorpha,,NCBITaxon:70910,
http://neuromorpho.org/ontologies/1/archiveH.owl#NMOOt_428,Santhakumar,,,false,,,http://neuromorpho.org/ontologies/1/archiveH.owl#NMOOt_297,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,Santhakumar,,,
http://neuromorpho.org/ontologies/1/experimentconditionH.owl#NMOOt_762,DYNC1I1 knockdown+BRAF,,,false,,,http://neuromorpho.org/ontologies/1/experimentconditionH.owl#NMOOt_201,,,,,,NMOOt_762,,,,,http://www.w3.org/2002/07/owl#Class,DYNC1I1 knockdown+BRAF,,,
http://neuromorpho.org/ontologies/1/NMOSp.owl#NMOSp_1104,Scnn1a-Tg3-Cre,,,false,,,http://id.nlm.nih.gov/mesh/D008822,,,,,,,,,NMOSp_1104,,http://www.w3.org/2002/07/owl#Class,Scnn1a-Tg3-Cre,,NMOSp_1104,
http://neuromorpho.org/ontologies/1/archiveH.owl#NMOOt_1444,Herget,,,false,,,http://neuromorpho.org/ontologies/1/archiveH.owl#NMOOt_297,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,Herget,,,
http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_255,Mt3-like,,,false,,,http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_100,insectH:medulla,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,Mt3-like,,,
http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_450,Dm6,,,false,,,http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_100,insectH:medulla,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,Dm6,,,
http://neuromorpho.org/ontologies/1/NMOSp.owl#NMOSP_1322,sax-7(dz156),,,false,,,http://neuromorpho.org/ontologies/1/NMOSp.owl#NMOSp_1070,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,sax-7(dz156),,,
http://purl.obolibrary.org/obo/NCBITaxon_7227,Drosophila melanogaster,fruit fly|drosophila melangaster,,false,,,http://purl.obolibrary.org/obo/NCBITaxon_32351,NMODB:8.0_sp,fruit fly,,drosophila melangaster,,,,,NCBITaxon:7227,http://purl.obolibrary.org/obo/NMODB#_8.0_sp,http://www.w3.org/2002/07/owl#Class,Drosophila melanogaster,,NCBITaxon:7227,
http://neuromorpho.org/ontologies/1/NMOSp.owl#NMOSp_1281,C57BL6/TH-GFP,,,false,,,http://id.nlm.nih.gov/mesh/D008822,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,C57BL6/TH-GFP,,,
http://neuromorpho.org/ontologies/1/NMOSp.owl#NMOSp_1299,"GAL4[477],UAS-mCD8::GFP (x) UAS-Trio GEF1",,,false,,,http://purl.obolibrary.org/obo/FBcv_0000607,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,"GAL4[477],UAS-mCD8::GFP (x) UAS-Trio GEF1",,,
http://neuromorpho.org/ontologies/1/NMOSp.owl#NMOSp_1173,Ebf2- Cre,,,false,,,http://id.nlm.nih.gov/mesh/D008822,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,Ebf2- Cre,,,
http://neuromorpho.org/ontologies/1/experimentconditionH.owl#NMOOt_1038,mTOR knockout,,,false,,,http://neuromorpho.org/ontologies/1/experimentconditionH.owl#NMOOt_201,,,,,,NMOOt_1038,,,,,http://www.w3.org/2002/07/owl#Class,mTOR knockout,,,
http://neuromorpho.org/ontologies/1/archiveH.owl#NMOOt_363,Ito,,,false,,,http://neuromorpho.org/ontologies/1/archiveH.owl#NMOOt_297,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,Ito,,,
http://purl.obolibrary.org/obo/NCBITaxon_400035,Gallus gallus murghi,,,false,,,http://purl.obolibrary.org/obo/NCBITaxon_9031,,,,,,,,,NCBITaxon:400035,,http://www.w3.org/2002/07/owl#Class,Gallus gallus murghi,,NCBITaxon:400035,
http://purl.obolibrary.org/obo/NCBITaxon_70396,Libellula saturata,flame skimmer|southwestern big red pond skimmer,,false,,,http://purl.obolibrary.org/obo/NCBITaxon_6965,,flame skimmer|southwestern big red pond skimmer,,,,,,has_rank NCBITaxon:species,NCBITaxon:70396,,http://www.w3.org/2002/07/owl#Class,Libellula saturata,,NCBITaxon:70396,
http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_713,Commissural-T,,,false,,,http://neuromorpho.org/ontologies/1/morphologyH.owl#NMOCt_100,circuitH:interneuron,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,Commissural-T,,,
http://purl.obolibrary.org/obo/RS_0001224,DA/BklArb.F344,,,false,,,http://purl.obolibrary.org/obo/RS_0000215,,,,,,,,,RS:0001224,,http://www.w3.org/2002/07/owl#Class,DA/BklArb.F344,,RS:0001224,
http://neuromorpho.org/ontologies/1/spinalH.owl#NMOBr_245,Clarke's column,medial part of lamina VII|thoracic column,,false,,,http://neuromorpho.org/ontologies/1/spinalH.owl#NMOBr_511,,medial part of lamina VII|thoracic column,,,,,,,,,http://www.w3.org/2002/07/owl#Class,Clarke's column,,,
http://neuromorpho.org/ontologies/1/experimentconditionH.owl#NMOOt_713,Lithium-pilocarpine injection,,,false,,,http://neuromorpho.org/ontologies/1/experimentconditionH.owl#NMOOt_201,,,,,,NMOOt_713,,,,,http://www.w3.org/2002/07/owl#Class,Lithium-pilocarpine injection,,,
http://purl.obolibrary.org/obo/NCBITaxon_257706,Crocothemis servilia mariannae,"crocothemis servilia mariannae kiauta, 1983",,false,,,http://purl.obolibrary.org/obo/NCBITaxon_257042,,,,"crocothemis servilia mariannae kiauta, 1983",,,,,NCBITaxon:257706,,http://www.w3.org/2002/07/owl#Class,Crocothemis servilia mariannae,,NCBITaxon:257706,
